etag,cow_id,stock_group,lact,bdat,inventory_lact,in_anchor_inventory
NL000741246679,16,cows,6,2017-06-23,None,False
NL000899084451,84451,cows,6,2017-07-10,7,True
UK240837106626,405,cows,2,2019-09-25,None,False
UK280367301030,753,cows,4,2019-01-16,None,False
UK304848202762,,cows,2,2020-11-04,None,False
UK363091103341,682,cows,4,2019-01-23,5,True
UK363091103425,650,cows,4,2019-04-29,None,False
UK363091203027,269,cows,4,2018-01-16,None,False
UK363091203349,43,cows,4,2019-02-12,None,False
UK363091403498,316,cows,3,2019-09-11,None,False
UK363091703424,87,cows,4,2019-04-27,5,True
UK728173300131,12,cows,2,2021-06-06,None,False
UK740383401193,428,cows,6,2017-09-28,None,False
UK740488101449,27,cows,6,2017-03-13,None,False
UK740651127080,,cows,1,2023-03-13,None,False
UK740651127115,,cows,1,2023-03-30,None,False
UK740651227123,,cows,1,2023-04-02,None,False
UK740651227151,,cows,1,2023-04-21,None,False
UK740651327047,,cows,1,2023-03-01,None,False
UK740651327096,,cows,1,2023-03-20,None,False
UK740651426964,,cows,1,2023-02-18,None,False
UK740651427104,,cows,1,2023-03-26,None,False
UK740651526818,656,cows,1,2023-02-02,2,True
UK740651527077,,cows,1,2023-03-12,None,False
UK742863200838,59,cows,3,2018-12-08,None,False
UK752261103624,180,cows,7,2016-05-06,None,False
UK752261103939,684,cows,7,2016-11-03,None,False
UK752261104611,699,cows,5,2017-07-19,None,False
UK752261104646,688,cows,6,2017-08-14,None,False
UK752261105136,853,cows,5,2017-12-29,None,False
UK752261105367,653,cows,5,2018-03-28,None,False
UK752261105507,374,cows,5,2018-04-21,None,False
UK752261105752,834,cows,5,2018-07-27,None,False
UK752261106347,725,cows,5,2019-02-16,None,False
UK752261106354,625,cows,4,2019-02-21,None,False
UK752261106438,55,cows,4,2019-04-18,None,False
UK752261106669,448,cows,4,2019-07-25,5,True
UK752261106690,627,cows,4,2019-08-08,None,False
UK752261106809,611,cows,3,2019-08-22,None,False
UK752261106893,807,cows,4,2019-10-23,None,False
UK752261107040,117,cows,3,2019-11-19,None,False
UK752261107271,36,cows,4,2020-02-16,None,False
UK752261107418,429,cows,3,2020-03-31,None,False
UK752261107425,518,cows,3,2020-04-02,None,False
UK752261107460,150,cows,3,2020-04-30,None,False
UK752261107467,390,cows,3,2020-05-18,None,False
UK752261107495,107495,cows,3,2020-06-18,4,True
UK752261107635,49,cows,3,2020-07-31,4,True
UK752261107656,167,cows,2,2020-08-13,None,False
UK752261107677,91,cows,2,2020-08-28,None,False
UK752261107684,564,cows,3,2020-09-02,None,False
UK752261107803,240,cows,3,2020-09-14,None,False
UK752261107852,678,cows,3,2020-10-09,None,False
UK752261107929,246,cows,2,2020-12-06,None,False
UK752261107964,76,cows,2,2020-12-27,3,True
UK752261107971,112,cows,2,2020-12-29,3,True
UK752261107992,107992,cows,2,2021-01-11,None,False
UK752261107999,904,cows,2,2021-01-12,None,False
UK752261108209,862,cows,2,2021-01-19,None,False
UK752261108216,51,cows,2,2021-01-23,None,False
UK752261108223,525,cows,2,2021-01-26,None,False
UK752261108244,901,cows,2,2021-02-09,3,True
UK752261108265,476,cows,2,2021-03-02,None,False
UK752261108272,108272,cows,1,2021-03-12,4,True
UK752261108279,443,cows,2,2021-03-14,None,False
UK752261108286,801,cows,2,2021-03-16,None,False
UK752261108314,803,cows,2,2021-04-06,None,False
UK752261108384,108384,cows,1,2021-05-30,4,True
UK752261108398,108398,cows,1,2021-06-09,4,True
UK752261108517,936,cows,2,2021-06-22,3,True
UK752261108531,52,cows,2,2021-06-29,None,False
UK752261108559,274,cows,2,2021-07-16,None,False
UK752261108594,462,cows,2,2021-08-03,None,False
UK752261108720,592,cows,2,2021-08-27,None,False
UK752261108727,787,cows,2,2021-09-03,3,True
UK752261108734,347,cows,2,2021-09-10,3,True
UK752261108748,714,cows,2,2021-09-17,3,True
UK752261108776,559,cows,2,2021-10-01,None,False
UK752261108783,887,cows,2,2021-10-11,None,False
UK752261108818,23038,cows,2,2021-11-02,None,False
UK752261108846,40,cows,1,2021-11-18,None,False
UK752261108853,652,cows,2,2021-11-21,None,False
UK752261108874,236,cows,2,2021-12-02,None,False
UK752261108888,63,cows,2,2021-12-08,3,True
UK752261109007,109007,cows,1,2021-12-17,None,False
UK752261109070,544,cows,1,2022-01-17,None,False
UK752261109315,358,cows,1,2022-02-10,None,False
UK752261109357,709,cows,1,2022-03-14,None,False
UK752261109371,60,cows,1,2022-03-24,None,False
UK752261109399,67,cows,1,2022-04-22,None,False
UK752261109413,455,cows,1,2022-05-07,None,False
UK752261109455,109455,cows,1,2022-06-19,2,True
UK752261109462,109462,cows,2,2022-06-24,None,False
UK752261109469,109469,cows,1,2022-06-27,None,False
UK752261109490,133,cows,1,2022-07-09,2,True
UK752261109497,109497,cows,1,2022-07-14,None,False
UK752261109609,675,cows,1,2022-07-22,None,False
UK752261109623,664,cows,1,2022-07-31,2,True
UK752261109651,923,cows,1,2022-08-17,None,False
UK752261109665,418,cows,1,2022-08-27,2,True
UK752261109672,334,cows,1,2022-09-01,2,True
UK752261109679,191,cows,1,2022-09-05,2,True
UK752261109714,452,cows,1,2022-10-06,None,False
UK752261109721,147,cows,1,2022-10-16,2,True
UK752261109735,263,cows,1,2022-10-24,None,False
UK752261109742,615,cows,1,2022-10-27,2,True
UK752261109749,396,cows,1,2022-10-31,None,False
UK752261109763,929,cows,1,2022-11-09,None,False
UK752261109770,837,cows,1,2022-11-13,1,True
UK752261109791,517,cows,1,2022-11-27,None,False
UK752261109798,637,cows,1,2022-11-30,None,False
UK752261109924,34,cows,1,2022-12-15,None,False
UK752261109931,433,cows,1,2022-12-17,None,False
