etag,cow_id,stock_group,lact,bdat,inventory_lact,in_anchor_inventory
UK740651126968,,youngstock,0,2023-02-18,None,False
UK740651127024,,youngstock,0,2023-02-24,None,False
UK740651127129,,youngstock,0,2023-04-05,None,False
UK740651127143,127143,youngstock,0,2023-04-16,2,True
UK740651127157,127157,youngstock,0,2023-04-25,2,True
UK740651127164,,youngstock,0,2023-04-27,None,False
UK740651127178,,youngstock,0,2023-05-02,None,False
UK740651127199,,youngstock,0,2023-05-10,None,False
UK740651127227,,youngstock,0,2023-05-27,None,False
UK740651127759,,youngstock,0,2023-06-16,None,False
UK740651127773,127773,youngstock,0,2023-06-20,2,True
UK740651127787,127787,youngstock,0,2023-06-27,2,True
UK740651127801,,youngstock,0,2023-07-01,None,False
UK740651226367,,youngstock,0,2022-12-04,None,False
UK740651226682,,youngstock,0,2023-01-15,None,False
UK740651227032,227032,youngstock,0,2023-02-25,2,True
UK740651227067,,youngstock,0,2023-03-08,None,False
UK740651227074,,youngstock,0,2023-03-10,None,False
UK740651227088,,youngstock,0,2023-03-17,None,False
UK740651227102,,youngstock,0,2023-03-26,None,False
UK740651227137,,youngstock,0,2023-04-11,None,False
UK740651227144,,youngstock,0,2023-04-16,None,False
UK740651227158,,youngstock,0,2023-04-25,None,False
UK740651227165,,youngstock,0,2023-04-28,None,False
UK740651227179,,youngstock,0,2023-05-03,None,False
UK740651227186,,youngstock,0,2023-05-05,None,False
UK740651227200,,youngstock,0,2023-05-11,None,False
UK740651227207,,youngstock,0,2023-05-18,None,False
UK740651227214,,youngstock,0,2023-05-22,None,False
UK740651227760,,youngstock,0,2023-06-16,None,False
UK740651227795,227795,youngstock,0,2023-06-29,2,True
UK740651227809,,youngstock,0,2023-07-04,None,False
UK740651326459,,youngstock,0,2022-12-17,None,False
UK740651326592,,youngstock,0,2023-01-04,None,False
UK740651326599,,youngstock,0,2023-01-05,None,False
UK740651326760,,youngstock,0,2023-01-23,None,False
UK740651326802,,youngstock,0,2023-02-01,None,False
UK740651327082,704,youngstock,0,2023-03-14,2,True
UK740651327089,327089,youngstock,0,2023-03-17,2,True
UK740651327110,,youngstock,0,2023-03-29,None,False
UK740651327124,,youngstock,0,2023-04-02,None,False
UK740651327131,,youngstock,0,2023-04-07,None,False
UK740651327138,,youngstock,0,2023-04-12,None,False
UK740651327145,,youngstock,0,2023-04-17,None,False
UK740651327159,,youngstock,0,2023-04-25,None,False
UK740651327166,,youngstock,0,2023-04-28,None,False
UK740651327173,,youngstock,0,2023-05-01,None,False
UK740651327180,327180,youngstock,0,2023-05-03,2,True
UK740651327187,,youngstock,0,2023-05-05,None,False
UK740651327194,,youngstock,0,2023-05-09,None,False
UK740651327208,,youngstock,0,2023-05-18,None,False
UK740651327215,,youngstock,0,2023-05-22,None,False
UK740651327222,327222,youngstock,0,2023-05-25,2,True
UK740651327425,,youngstock,0,2023-04-13,None,False
UK740651327733,,youngstock,0,2023-05-31,None,False
UK740651327747,,youngstock,0,2023-06-09,None,False
UK740651327768,,youngstock,0,2023-06-19,None,False
UK740651327775,,youngstock,0,2023-06-21,None,False
UK740651327894,,youngstock,0,2023-07-30,None,False
UK740651426838,,youngstock,0,2023-02-05,None,False
UK740651427048,,youngstock,0,2023-03-01,None,False
UK740651427076,,youngstock,0,2023-03-11,None,False
UK740651427083,,youngstock,0,2023-03-14,None,False
UK740651427118,,youngstock,0,2023-03-31,None,False
UK740651427139,,youngstock,0,2023-04-14,None,False
UK740651427153,,youngstock,0,2023-04-22,None,False
UK740651427160,,youngstock,0,2023-04-25,None,False
UK740651427167,,youngstock,0,2023-04-28,None,False
UK740651427174,427174,youngstock,0,2023-05-01,1,True
UK740651427188,,youngstock,0,2023-05-05,None,False
UK740651427195,,youngstock,0,2023-05-09,None,False
UK740651427209,,youngstock,0,2023-05-19,None,False
UK740651427216,,youngstock,0,2023-05-22,None,False
UK740651427230,,youngstock,0,2023-05-30,None,False
UK740651427538,427538,youngstock,0,2023-05-15,2,True
UK740651427748,,youngstock,0,2023-06-09,None,False
UK740651427776,427776,youngstock,0,2023-06-22,1,True
UK740651427790,,youngstock,0,2023-06-27,None,False
UK740651427825,427825,youngstock,0,2023-07-08,2,True
UK740651526622,,youngstock,0,2023-01-09,None,False
UK740651526657,,youngstock,0,2023-01-12,None,False
UK740651526748,,youngstock,0,2023-01-22,None,False
UK740651527049,,youngstock,0,2023-03-02,None,False
UK740651527098,,youngstock,0,2023-03-20,None,False
UK740651527112,,youngstock,0,2023-03-29,None,False
UK740651527119,,youngstock,0,2023-04-01,None,False
UK740651527126,527126,youngstock,0,2023-04-03,2,True
UK740651527140,,youngstock,0,2023-04-15,None,False
UK740651527147,,youngstock,0,2023-04-19,None,False
UK740651527154,527154,youngstock,0,2023-04-24,2,True
UK740651527161,527161,youngstock,0,2023-04-26,1,True
UK740651527175,,youngstock,0,2023-05-01,None,False
UK740651527182,,youngstock,0,2023-05-04,None,False
UK740651527189,527189,youngstock,0,2023-05-05,2,True
UK740651527217,,youngstock,0,2023-05-23,None,False
UK740651527749,527749,youngstock,0,2023-06-10,2,True
UK740651527784,,youngstock,0,2023-06-25,None,False
UK740651527882,,youngstock,0,2023-07-27,None,False
UK740651626462,626462,youngstock,0,2022-12-18,1,True
UK740651626504,626504,youngstock,0,2022-12-23,1,True
UK740651626665,626665,youngstock,0,2023-01-13,2,True
UK740651626707,626707,youngstock,0,2023-01-18,2,True
UK740651627001,,youngstock,0,2023-02-22,None,False
UK740651627043,627043,youngstock,0,2023-02-27,2,True
UK740651627099,,youngstock,0,2023-03-21,None,False
UK740651627106,,youngstock,0,2023-03-28,None,False
UK740651627120,,youngstock,0,2023-04-01,None,False
UK740651627127,,youngstock,0,2023-04-04,None,False
UK740651627148,,youngstock,0,2023-04-19,None,False
UK740651627169,627169,youngstock,0,2023-04-28,2,True
UK740651627183,627183,youngstock,0,2023-05-04,2,True
UK740651627197,,youngstock,0,2023-05-09,None,False
UK740651627218,,youngstock,0,2023-05-24,None,False
UK740651627428,,youngstock,0,2023-04-15,None,False
UK740651627757,627757,youngstock,0,2023-06-15,2,True
UK740651627764,627764,youngstock,0,2023-06-18,1,True
UK740651627834,627834,youngstock,0,2023-07-11,2,True
UK740651627848,,youngstock,0,2023-07-15,None,False
UK740651726435,,youngstock,0,2022-12-14,None,False
UK740651727093,,youngstock,0,2023-03-19,None,False
UK740651727107,,youngstock,0,2023-03-28,None,False
UK740651727121,,youngstock,0,2023-04-01,None,False
UK740651727135,727135,youngstock,0,2023-04-10,2,True
UK740651727142,727142,youngstock,0,2023-04-15,2,True
UK740651727149,,youngstock,0,2023-04-20,None,False
UK740651727170,,youngstock,0,2023-04-29,None,False
UK740651727177,,youngstock,0,2023-05-01,None,False
UK740651727184,,youngstock,0,2023-05-05,None,False
